CountryName,CountryCode,CountUnit,Issue,Outcome,VALUE,logdate
Austria,AT,requests,political,need_more_info,5,2014-10-11
Austria,AT,requests,political,rejected,16,2014-10-11
Austria,AT,requests,political,complied,3,2014-10-11
Austria,AT,requests,political,pending,0,2014-10-11
Austria,AT,requests,private_personal_info,need_more_info,316,2014-10-11
Austria,AT,requests,private_personal_info,rejected,697,2014-10-11
Austria,AT,requests,private_personal_info,complied,1306,2014-10-11
Austria,AT,requests,private_personal_info,pending,100,2014-10-11
Austria,AT,requests,cp,need_more_info,1,2014-10-11
Austria,AT,requests,cp,rejected,2,2014-10-11
Austria,AT,requests,cp,complied,1,2014-10-11
Austria,AT,requests,cp,pending,0,2014-10-11
Austria,AT,requests,public_figure,need_more_info,2,2014-10-11
Austria,AT,requests,public_figure,rejected,20,2014-10-11
Austria,AT,requests,public_figure,complied,10,2014-10-11
Austria,AT,requests,public_figure,pending,3,2014-10-11
Austria,AT,requests,serious_crime,need_more_info,3,2014-10-11
Austria,AT,requests,serious_crime,rejected,2,2014-10-11
Austria,AT,requests,serious_crime,complied,0,2014-10-11
Austria,AT,requests,serious_crime,pending,1,2014-10-11
Austria,AT,urls,political,need_more_info,9,2014-10-11
Austria,AT,urls,political,rejected,73,2014-10-11
Austria,AT,urls,political,complied,6,2014-10-11
Austria,AT,urls,political,pending,2,2014-10-11
Austria,AT,urls,private_personal_info,need_more_info,1315,2014-10-11
Austria,AT,urls,private_personal_info,rejected,3803,2014-10-11
Austria,AT,urls,private_personal_info,complied,4644,2014-10-11
Austria,AT,urls,private_personal_info,pending,419,2014-10-11
Austria,AT,urls,cp,need_more_info,2,2014-10-11
Austria,AT,urls,cp,rejected,18,2014-10-11
Austria,AT,urls,cp,complied,1,2014-10-11
Austria,AT,urls,cp,pending,0,2014-10-11
Austria,AT,urls,public_figure,need_more_info,13,2014-10-11
Austria,AT,urls,public_figure,rejected,145,2014-10-11
Austria,AT,urls,public_figure,complied,31,2014-10-11
Austria,AT,urls,public_figure,pending,11,2014-10-11
Austria,AT,urls,serious_crime,need_more_info,22,2014-10-11
Austria,AT,urls,serious_crime,rejected,6,2014-10-11
Austria,AT,urls,serious_crime,complied,0,2014-10-11
Austria,AT,urls,serious_crime,pending,37,2014-10-11
Belgium,BE,requests,political,need_more_info,4,2014-10-11
Belgium,BE,requests,political,rejected,20,2014-10-11
Belgium,BE,requests,political,complied,9,2014-10-11
Belgium,BE,requests,political,pending,0,2014-10-11
Belgium,BE,requests,private_personal_info,need_more_info,558,2014-10-11
Belgium,BE,requests,private_personal_info,rejected,1215,2014-10-11
Belgium,BE,requests,private_personal_info,complied,1962,2014-10-11
Belgium,BE,requests,private_personal_info,pending,198,2014-10-11
Belgium,BE,requests,cp,need_more_info,4,2014-10-11
Belgium,BE,requests,cp,rejected,12,2014-10-11
Belgium,BE,requests,cp,complied,2,2014-10-11
Belgium,BE,requests,cp,pending,4,2014-10-11
Belgium,BE,requests,public_figure,need_more_info,4,2014-10-11
Belgium,BE,requests,public_figure,rejected,28,2014-10-11
Belgium,BE,requests,public_figure,complied,10,2014-10-11
Belgium,BE,requests,public_figure,pending,0,2014-10-11
Belgium,BE,requests,serious_crime,need_more_info,7,2014-10-11
Belgium,BE,requests,serious_crime,rejected,53,2014-10-11
Belgium,BE,requests,serious_crime,complied,12,2014-10-11
Belgium,BE,requests,serious_crime,pending,1,2014-10-11
Belgium,BE,urls,political,need_more_info,8,2014-10-11
Belgium,BE,urls,political,rejected,114,2014-10-11
Belgium,BE,urls,political,complied,27,2014-10-11
Belgium,BE,urls,political,pending,0,2014-10-11
Belgium,BE,urls,private_personal_info,need_more_info,1868,2014-10-11
Belgium,BE,urls,private_personal_info,rejected,5977,2014-10-11
Belgium,BE,urls,private_personal_info,complied,5868,2014-10-11
Belgium,BE,urls,private_personal_info,pending,703,2014-10-11
Belgium,BE,urls,cp,need_more_info,4,2014-10-11
Belgium,BE,urls,cp,rejected,59,2014-10-11
Belgium,BE,urls,cp,complied,10,2014-10-11
Belgium,BE,urls,cp,pending,13,2014-10-11
Belgium,BE,urls,public_figure,need_more_info,5,2014-10-11
Belgium,BE,urls,public_figure,rejected,198,2014-10-11
Belgium,BE,urls,public_figure,complied,30,2014-10-11
Belgium,BE,urls,public_figure,pending,4,2014-10-11
Belgium,BE,urls,serious_crime,need_more_info,23,2014-10-11
Belgium,BE,urls,serious_crime,rejected,207,2014-10-11
Belgium,BE,urls,serious_crime,complied,20,2014-10-11
Belgium,BE,urls,serious_crime,pending,3,2014-10-11
Bulgaria,BG,requests,political,need_more_info,4,2014-10-11
Bulgaria,BG,requests,political,rejected,5,2014-10-11
Bulgaria,BG,requests,political,complied,2,2014-10-11
Bulgaria,BG,requests,political,pending,2,2014-10-11
Bulgaria,BG,requests,private_personal_info,need_more_info,59,2014-10-11
Bulgaria,BG,requests,private_personal_info,rejected,169,2014-10-11
Bulgaria,BG,requests,private_personal_info,complied,110,2014-10-11
Bulgaria,BG,requests,private_personal_info,pending,4,2014-10-11
Bulgaria,BG,requests,cp,need_more_info,0,2014-10-11
Bulgaria,BG,requests,cp,rejected,3,2014-10-11
Bulgaria,BG,requests,cp,complied,0,2014-10-11
Bulgaria,BG,requests,cp,pending,0,2014-10-11
Bulgaria,BG,requests,public_figure,need_more_info,1,2014-10-11
Bulgaria,BG,requests,public_figure,rejected,6,2014-10-11
Bulgaria,BG,requests,public_figure,complied,1,2014-10-11
Bulgaria,BG,requests,public_figure,pending,3,2014-10-11
Bulgaria,BG,requests,serious_crime,need_more_info,0,2014-10-11
Bulgaria,BG,requests,serious_crime,rejected,3,2014-10-11
Bulgaria,BG,requests,serious_crime,complied,1,2014-10-11
Bulgaria,BG,requests,serious_crime,pending,0,2014-10-11
Bulgaria,BG,urls,political,need_more_info,9,2014-10-11
Bulgaria,BG,urls,political,rejected,129,2014-10-11
Bulgaria,BG,urls,political,complied,5,2014-10-11
Bulgaria,BG,urls,political,pending,18,2014-10-11
Bulgaria,BG,urls,private_personal_info,need_more_info,164,2014-10-11
Bulgaria,BG,urls,private_personal_info,rejected,762,2014-10-11
Bulgaria,BG,urls,private_personal_info,complied,319,2014-10-11
Bulgaria,BG,urls,private_personal_info,pending,18,2014-10-11
Bulgaria,BG,urls,cp,need_more_info,0,2014-10-11
Bulgaria,BG,urls,cp,rejected,39,2014-10-11
Bulgaria,BG,urls,cp,complied,0,2014-10-11
Bulgaria,BG,urls,cp,pending,0,2014-10-11
Bulgaria,BG,urls,public_figure,need_more_info,4,2014-10-11
Bulgaria,BG,urls,public_figure,rejected,92,2014-10-11
Bulgaria,BG,urls,public_figure,complied,5,2014-10-11
Bulgaria,BG,urls,public_figure,pending,26,2014-10-11
Bulgaria,BG,urls,serious_crime,need_more_info,0,2014-10-11
Bulgaria,BG,urls,serious_crime,rejected,28,2014-10-11
Bulgaria,BG,urls,serious_crime,complied,1,2014-10-11
Bulgaria,BG,urls,serious_crime,pending,0,2014-10-11
Switzerland,CH,requests,political,need_more_info,2,2014-10-11
Switzerland,CH,requests,political,rejected,21,2014-10-11
Switzerland,CH,requests,political,complied,5,2014-10-11
Switzerland,CH,requests,political,pending,0,2014-10-11
Switzerland,CH,requests,private_personal_info,need_more_info,439,2014-10-11
Switzerland,CH,requests,private_personal_info,rejected,1032,2014-10-11
Switzerland,CH,requests,private_personal_info,complied,1646,2014-10-11
Switzerland,CH,requests,private_personal_info,pending,103,2014-10-11
Switzerland,CH,requests,cp,need_more_info,3,2014-10-11
Switzerland,CH,requests,cp,rejected,9,2014-10-11
Switzerland,CH,requests,cp,complied,20,2014-10-11
Switzerland,CH,requests,cp,pending,0,2014-10-11
Switzerland,CH,requests,public_figure,need_more_info,8,2014-10-11
Switzerland,CH,requests,public_figure,rejected,108,2014-10-11
Switzerland,CH,requests,public_figure,complied,16,2014-10-11
Switzerland,CH,requests,public_figure,pending,2,2014-10-11
Switzerland,CH,requests,serious_crime,need_more_info,3,2014-10-11
Switzerland,CH,requests,serious_crime,rejected,28,2014-10-11
Switzerland,CH,requests,serious_crime,complied,4,2014-10-11
Switzerland,CH,requests,serious_crime,pending,4,2014-10-11
Switzerland,CH,urls,political,need_more_info,9,2014-10-11
Switzerland,CH,urls,political,rejected,248,2014-10-11
Switzerland,CH,urls,political,complied,104,2014-10-11
Switzerland,CH,urls,political,pending,0,2014-10-11
Switzerland,CH,urls,private_personal_info,need_more_info,1510,2014-10-11
Switzerland,CH,urls,private_personal_info,rejected,4655,2014-10-11
Switzerland,CH,urls,private_personal_info,complied,4791,2014-10-11
Switzerland,CH,urls,private_personal_info,pending,472,2014-10-11
Switzerland,CH,urls,cp,need_more_info,3,2014-10-11
Switzerland,CH,urls,cp,rejected,15,2014-10-11
Switzerland,CH,urls,cp,complied,20,2014-10-11
Switzerland,CH,urls,cp,pending,0,2014-10-11
Switzerland,CH,urls,public_figure,need_more_info,31,2014-10-11
Switzerland,CH,urls,public_figure,rejected,902,2014-10-11
Switzerland,CH,urls,public_figure,complied,42,2014-10-11
Switzerland,CH,urls,public_figure,pending,5,2014-10-11
Switzerland,CH,urls,serious_crime,need_more_info,8,2014-10-11
Switzerland,CH,urls,serious_crime,rejected,101,2014-10-11
